date,MSFT,GOOGL,AMZN,JPM,JNJ,PG,XOM,CAT,NEE,APD,SPY
2014-12-31,39.3430609451,26.2813610623,15.5175,45.824294368,75.7872616543,65.4917124624,56.4927181345,68.6590608152,19.5402081777,109.0332888589,169.6301889109
2015-01-02,39.6056303507,26.2263874242,15.426,46.0512923107,75.7510240806,65.0243767164,56.7249218435,68.9216050224,19.6137436305,109.9404506604,169.5394069669
2015-01-05,39.2371861847,25.7266721016,15.1095,44.6216314516,75.2219555044,64.715216146,55.1728233679,65.2834924369,19.4060059765,106.4251986796,166.4775795812
2015-01-06,38.6654624788,25.0917513448,14.7645,43.4646378698,74.8523322526,64.420435137,54.8795134198,64.8634217054,19.4813798155,106.3874002712,164.9095278203
2015-01-07,39.1567213668,25.0179579027,14.921,43.5309623427,76.5047656137,64.7583548303,55.4355801965,65.8685909558,19.6597032884,107.5364718864,166.9645009174
2015-01-08,40.3086387594,25.1051233108,15.023,44.5037212777,77.1063093373,65.4989022431,56.3582844083,66.5437046315,19.7791983991,110.0236071589,169.9272934551
2015-01-09,39.9698395263,24.7985586084,14.8465,43.7299357612,76.0554196997,64.887770883,56.2788462973,65.7485707468,19.6045516989,108.3755965528,168.5655642943
2015-01-12,39.4701106575,24.6172941801,14.5705,43.3540970817,75.794509169,64.6505081197,55.1972658636,65.178474754,19.5549152683,107.6271880666,167.2450996536
2015-01-13,39.2625961272,24.8520464725,14.737,43.3614664676,75.9249644344,64.9237197865,54.9956152743,64.7884090747,19.6321274936,107.0602119406,166.7746841253
2015-01-14,38.9237968941,25.0565880267,14.6635,41.8654811357,75.374153314,64.7008365846,54.8367390524,64.5633711829,19.7534609906,105.7826257368,165.7678298368
2015-01-15,38.5214728048,24.9614984906,14.3475,40.5242529071,74.279778588,64.6073694354,54.3601103867,63.7757385612,19.6780871516,105.4273206979,164.2492954999
2015-01-16,39.1651913477,25.280692272,14.537,41.216975179,75.403143373,65.6067489537,55.6800051532,63.4278158888,19.8950167372,105.6163127399,166.4033034451
2015-01-20,39.2922410601,25.255186485,14.472,41.0548486899,73.410076819,65.5636102695,55.6616732815,63.5110147888,20.0255421658,106.8787795803,166.7581783173
2015-01-21,38.8941519612,25.7727310957,14.8625,41.1874976355,73.8521752182,65.6956146433,56.1383019472,64.5699098787,20.2020272523,108.1790448291,167.5999745258
2015-01-22,39.9190196413,26.6102123747,15.516,42.4402932337,75.2002129602,66.3400442369,56.7493643391,65.6666226505,20.1395221175,109.101325994,170.0923515352
2015-01-23,39.9613695455,26.840507345,15.6195,41.7696791194,74.0696006605,65.2249638165,55.5394608031,64.7514347513,20.1266534133,108.4511933696,169.1597733827
2015-01-26,39.8173798714,26.5814874107,15.483,41.8360035922,74.1130857489,64.8629247189,56.0710850841,65.0691032783,20.1762898439,108.1639254658,169.5559127749
2015-01-27,36.1329382113,25.8123517357,15.3375,41.4159485976,73.9898779983,62.625523096,55.5761245466,60.3948378097,20.4465326327,107.2340846193,167.3193757896
2015-01-28,34.8878510296,25.3785057271,15.1955,40.3473876462,73.5477795991,61.6552583145,53.7429373708,60.5158543914,20.2075424113,104.9510607521,165.1736207484
2015-01-29,35.5823894575,25.4181263672,15.589,41.0253711464,74.2000559258,62.031778976,53.5168442858,60.5082908551,20.5274216307,111.1197610024,166.7004079893
2015-01-30,34.2187225442,26.6225938248,17.7265,40.074720369,72.5766126237,61.0325510667,53.4190743031,60.485600246,20.0825321416,110.0765249306,164.6041703721
2015-02-02,34.9640808571,26.3576307944,18.2235,40.8779834289,73.0766911409,61.6335359687,54.7389690697,61.1436279091,20.2351182061,111.6413790382,166.6426376613
2015-02-03,35.2351202436,26.4121091745,18.1775,41.7991566629,74.2580360438,62.2345208706,56.3705056561,63.473197107,20.2663707735,112.1932358008,169.0524856306
2015-02-04,35.4383997834,26.055523414,18.2375,41.5485975432,73.4608094222,62.1186683594,55.8877663665,61.9831804447,20.119299868,112.2007954825,168.4087591182
2015-02-05,35.9550686139,26.2402546483,18.6945,41.8360035922,74.2580360438,62.7775795169,56.4377225192,63.2084733345,20.1689362986,114.544296803,170.1088573432
2015-02-06,35.9211886906,26.4405865095,18.714,42.6613748098,73.2723740389,61.9883342843,56.3338419126,62.9361860256,19.4501272481,113.6371350015,169.6384418149
2015-02-09,35.8788387865,26.2130154582,18.528,42.6097891087,72.315702093,61.582850495,56.3707821368,64.0404623337,19.2148137994,113.2213525092,168.8791746465
2015-02-10,36.0821183264,26.7518561629,18.64975,43.0814298045,72.7288104333,61.8290370813,56.0321634149,63.4580700343,19.8233196707,113.6144559565,170.6783077195
2015-02-11,35.8957787481,26.6448804348,18.757,43.0151053317,72.7505529775,62.0100566301,55.7797385495,63.0874567528,19.3140866606,113.4027848695,170.7773425676
2015-02-12,36.4971473869,27.0415820933,18.8585,43.8994316362,71.3445351176,62.2924471262,56.8694751636,63.1782191891,19.3655614775,115.0734745206,172.4196704645
2015-02-13,37.1578058915,27.2966399636,19.0915,43.973125495,72.1997418571,62.1983169608,57.485145567,64.3883850062,19.0493590307,115.5194957396,173.1294202089
2015-02-17,37.1747458531,26.9920562932,18.7715,44.2900090874,72.7940380659,61.9014449008,57.2881310379,64.5774734151,19.0125913044,116.0108750488,173.401766041
2015-02-18,37.1320946991,26.8751754051,18.6685,43.7520439188,72.4461573583,62.4589851111,56.0321634149,64.1387883064,19.5769759041,116.3208219976,173.418271849
2015-02-19,37.1065040067,27.0633734453,18.94975,43.6488725166,72.9824734492,61.6987030062,55.0655608816,63.0042578528,19.3821069543,117.9915116487,173.294478289
2015-02-20,37.4093272003,26.833078475,19.183,44.0689275113,73.1709088325,61.4525164199,55.3610826752,63.8665009975,19.4133595218,119.185941354,174.3343441936
2015-02-23,37.6609690091,26.4963030346,19.007,43.7373051471,73.1125239062,61.8290370813,54.8008226081,63.1479650436,19.4850565882,118.0066310121,174.3095854815
2015-02-24,37.6097876243,26.6770722048,18.9295,44.8206048702,73.4920259269,61.9086856828,55.0532474735,63.9118822157,19.501602065,118.6718829999,174.8047597218
2015-02-25,37.5244853162,27.1069561494,19.2685,45.0564252181,73.8642298318,61.879722555,55.1640681461,64.4035120789,19.2203289583,118.7248007716,174.6562074497
2015-02-26,37.5799318164,27.6992847182,19.24,45.3806781964,75.0246302412,61.6697398784,54.5791812629,63.3824346707,19.1647681693,118.4072941411,174.4498848496
2015-02-27,37.4050620849,27.8647008904,19.008,45.1595966203,74.8129848835,61.6407767506,54.5114575185,62.7017163986,19.1610641167,118.0368697388,173.8556757613
2015-03-02,37.4306527773,28.4783255532,19.28275,45.520696528,75.331151104,61.8435186452,54.2036223168,62.7773517621,18.8054750668,119.541246393,174.9533119939
2015-03-03,36.918838929,28.6652854484,19.2305,45.6680842454,74.6889169152,61.6624990965,53.9450407474,62.6563351804,18.8795561188,117.9763922854,174.2353093455
2015-03-04,36.7269087358,28.6422559514,19.136,45.7859944193,74.1853469262,61.0759957584,53.6741457699,61.8167826448,18.7776946722,116.9785143037,173.5008008891
2015-03-05,36.7738250053,28.7960335606,19.3915,45.690192403,74.8202829993,61.278737653,53.4032507924,61.650384845,18.9147446186,117.0692304839,173.6906234582
2015-03-06,36.1340576948,28.373330857,19.0045,44.8721905713,73.0614370958,59.8523036087,52.7198566446,60.5536720732,18.2794995971,115.3683021061,171.2477580958
2015-03-09,36.5520390043,28.4327618171,18.928,45.3217231094,73.4628334638,60.1636572326,52.430491555,61.1209373,18.322096202,116.335941361,171.9575078402
2015-03-10,35.8525600782,27.7270191662,18.4755,44.1868376852,72.6381463804,59.0413360301,51.8763881919,60.4402190279,18.1480057297,114.9827583404,169.1680262867
2015-03-11,35.8099089242,27.5209918379,18.3185,44.3931804896,71.7550743708,58.9327243009,51.7286272951,60.2813847644,18.1461537034,114.3779838061,168.7718868944
2015-03-12,34.9910067668,27.7923932223,18.712,45.2259210931,72.8570898539,59.4395790374,51.8517613757,60.6519980459,18.616568384,115.8823604602,170.9176419356
2015-03-13,35.2980950758,27.3877674358,18.529,44.9532538159,72.4046066754,59.2513187067,51.6362767345,59.9258985556,18.6332366207,114.9071615236,169.8695231271
2015-03-16,35.4516392303,27.8156703483,18.6675,45.5796516149,73.7547580951,60.5039739843,52.1842233936,60.485600246,19.0703148279,115.3834214694,172.1390717283
2015-03-17,35.5667973462,27.6160813741,18.596,45.402786354,72.9008785486,59.9898784657,51.7655675193,59.3359427198,19.1277276432,115.3909811511,171.62739168
2015-03-18,36.2534809261,28.0395269646,18.75675,45.5059577562,74.0466827264,60.6415488413,52.9907516221,61.5142411905,19.7981611644,116.9331562136,173.6906176812
2015-03-19,36.0700809637,27.9162077225,18.662,45.1006415333,74.2145393894,60.3736399091,51.9687387524,60.5763626823,19.5351734296,115.0885938839,172.8983388968
2015-03-20,36.5776296967,27.9796007465,18.9245,45.5059577562,74.7327056099,61.3583862545,52.0487759048,61.4083516815,19.629626771,115.4438989228,174.4175417188
2015-03-23,36.5563041197,28.0004015826,18.7555,45.0564252181,75.1559963253,61.4452756379,52.5967225639,61.332716318,19.5833261134,114.8240050252,174.0776757804
2015-03-24,36.5946901583,28.6031305693,18.7045,44.5553069788,74.4115885155,60.7646421345,52.0364624968,60.8713406002,19.4166437463,115.0432357938,173.0995250308
2015-03-25,35.3663369222,28.0811286367,18.548,43.9289091797,73.2292937588,60.1057309769,52.2457904339,60.4024013461,19.1536560115,113.8941641786,170.5629646123
2015-03-26,35.1530811521,27.9147219484,18.3675,43.8773234786,73.0833314431,59.4830237291,51.9133284161,60.4175284188,19.0240141704,114.2721482626,170.1567833688
2015-03-27,34.9483556127,27.6131098261,18.528,43.8846928645,73.2292937588,59.5988762404,51.4577323176,60.2586941553,19.1758803271,115.4741376496,170.546385786
2015-03-30,34.9398253819,27.7906598193,18.7295,44.9237762724,74.1123657684,59.8957483004,52.7198566446,61.544495336,19.3981234833,116.8802384419,172.6270284822
2015-03-31,34.6796533423,27.4719612959,18.605,44.6437396093,73.4190447691,59.3309673082,52.3319842904,60.5309814641,19.2703336685,114.9651656144,171.1183552921
2015-04-01,34.7350998426,27.2139318775,18.51275,44.4742437342,72.3608179807,59.6061170223,51.9995222726,60.2360035462,19.4018275359,114.060825668,170.5132281335
2015-04-02,34.3682999179,26.808810833,18.6125,44.8971014311,72.718425654,59.6857656238,51.901015008,60.6898157276,19.3999755096,114.782777726,171.1266447053
2015-04-06,35.4388438841,26.9395589452,18.852,44.8600086507,72.3681160965,60.1274533228,52.4120214429,61.6352577722,19.5462855874,115.5807247375,172.2788731307
2015-04-07,35.4260485379,26.9846274232,18.7205,45.1419137819,73.05413898,59.656802496,52.793737093,60.9167218183,19.3147822997,114.8891706609,171.8229554084
2015-04-08,35.332215999,27.1817401075,19.06,45.2902849036,73.0979276747,59.9319522101,51.7532541112,60.8410864548,19.2684816422,114.7295812586,172.4032143277
2015-04-09,35.3833973839,27.1411289514,19.177,45.6018642592,73.9518072212,60.0188415935,52.1164996492,61.0226113273,19.2629255633,115.5503267561,173.1658403358
2015-04-10,35.5881229232,27.1668823675,19.1325,45.7724910492,74.4845696733,60.3519175633,52.6767597163,62.4748103079,19.4277559041,115.4515333166,174.1108334329
2015-04-13,35.6222438464,27.1718349475,19.118,46.0469776244,73.3825541902,60.4098438189,52.5413122276,62.1268876354,19.2147728794,114.4332009401,173.3233391853
2015-04-14,35.5284113076,26.7330363589,19.2555,46.7665775647,73.3606598428,60.5329371121,53.335527048,62.7773517621,19.3277464838,115.3907373538,173.6549157106
2015-04-15,36.0444902713,26.795438867,19.1725,47.6345486267,73.4190447691,60.4677700745,54.2282491329,64.4110756152,19.2944100104,115.7783116165,174.4341205451
2015-04-16,35.9634530787,26.9182628511,19.302,47.3378063833,72.8278973907,60.4605292926,54.0127644917,64.3203131789,19.2166249057,115.2007499701,174.3843840663
2015-04-17,35.4985554997,26.3843747265,18.778,46.618206443,72.6746369593,59.7581734433,53.520228169,63.511924135,19.1036513013,113.8784377797,172.3783460883
2015-04-20,36.5989552737,26.9682839092,19.4755,46.9149486864,73.1344182536,60.0043600296,53.7110859941,64.5185972841,19.353674852,115.0335610725,173.9533345834
2015-04-21,36.368639042,26.8887950001,19.559,46.2250229705,73.2001012956,60.1564164506,53.4894446488,64.000008086,19.1499519589,115.4591328119,173.7460992551
2015-04-22,36.6671971202,27.1985788795,19.49,46.6923920039,73.2949768008,60.1636572326,53.8465334828,64.7245077009,19.1295796695,115.109556026,174.5999088077
2015-04-23,36.9700203138,27.6086525041,19.4995,46.5885322187,73.3168711481,59.0941213305,53.8957871151,64.663497207,19.3129302734,114.4483999307,175.0392477038
2015-04-24,40.834214869,28.4109704651,22.255,46.4401610969,73.7693543266,59.1306217143,53.5448549851,64.5185972841,19.4555362986,114.038027182,175.4454289472
2015-04-27,40.9706985619,28.0375459326,21.928,46.2472786387,73.4044485375,58.8386186441,53.5694818013,65.0753180408,19.2277370635,114.7979767167,174.7159605916
2015-04-28,41.9303495276,27.9508757825,21.4655,46.5588579943,73.52121839,58.7072172625,54.05586142,65.7388071618,19.2795938,116.2418808327,175.2713512715
2015-04-29,41.8493123349,27.8032888983,21.4685,47.1820167055,73.2657843377,58.2911128875,54.0989583482,66.7302276874,19.0203101178,115.4135358399,174.5501723289
2015-04-30,41.491042641,27.1782733015,21.089,46.9297857986,72.3973085596,58.0429102778,53.7911231465,66.2573963598,18.6925014624,108.9995617667,172.801106158
2015-05-01,41.5038379873,27.2966399636,21.1435,47.1894352616,73.0760333273,58.6123162647,54.7023153436,66.6310856349,18.868443961,111.4086017918,174.6745135259
2015-05-04,41.1498334088,27.3798433078,21.152,48.0128949871,73.2365918745,58.6561167253,54.8623896485,66.5777014527,19.0314222756,112.1533523359,175.1718783139
2015-05-05,40.6038986372,26.8947380961,21.0595,47.7755011924,72.6162520331,58.4517145761,54.5545544467,66.3489121006,18.5480434108,110.5042618455,173.1658403358
